切り取り：選択した項目を切り取り、クリップボードにコピーします。,command X
移動：クリップボードに配置したファイルを、元の場所から現在の場所に移動します。,option command V
選択したファイルのクイックルックスライドショーを表示します。,option command Y
クイックルックを使って、選択したファイルをプレビューします。,command Y
Finder ウインドウの項目をアイコン形式で表示します。,command 1
Finder ウインドウの項目をリスト形式で表示します。,command 2
Finder ウインドウの項目をカラム形式で表示します。?,command 3
Finder ウインドウの項目を Cover Flow で表示します。,command 4
前のフォルダに移動します。,command 左角かっこ?([)
次のフォルダに移動します。,command 右角かっこ?(])
現在のフォルダを内包するフォルダを開きます。,command 上矢印
現在のフォルダを内包するフォルダを新規ウインドウで開きます。,command control 上矢印
選択した項目を開きます。,command 下矢印
デスクトップを表示します。このショートカットは、Finder の外部でも機能します。,command Mission?Control
ターゲットディスプレイモードのオン／オフを切り替えます。,command 輝度を上げる
Mac が複数のディスプレイに接続されている場合に、ディスプレイミラーリングのオン／オフを切り替えます。,command 輝度を下げる
選択したフォルダを開きます。このショートカットは、リスト表示でのみ機能します。,右矢印?
選択したフォルダを閉じます。このショートカットは、リスト表示でのみ機能します。,左矢印
フォルダを別のウインドウで開き、現在のウインドウを閉じます。,option ダブルクリック
フォルダを別のタブまたはウインドウで開きます。,command ダブルクリック
選択した項目をゴミ箱に移動します。,command delete
ゴミ箱を空にします。,shift command delete
確認ダイアログを表示せずにゴミ箱を空にします。,option shift command delete
クイックルックを使ってファイルをプレビューします。,command Y
システム環境設定の「ディスプレイ」パネルを開きます。このショートカットは、どちらの輝度キーでも機能します。,option 輝度を上げる
システム環境設定の「Mission Control」パネルを開きます。,option Mission Control
システム環境設定の「サウンド」パネルを開きます。このショートカットは、どの音量キーでも機能します。,option 音量を上げる
項目をドラッグして別のボリュームまたは場所に移動します。項目のドラッグ中は、ポインタが変化します。,command ドラッグ
ドラッグした項目をコピーします。項目のドラッグ中は、ポインタが変化します。,option ドラッグ
ドラッグした項目のエイリアスを作成します。項目のドラッグ中は、ポインタが変化します。,ドラッグしながら option command
選択したフォルダ内のすべてのフォルダを開きます。このショートカットは、リスト表示でのみ機能します。,option 詳細表示三角形をクリック
現在のフォルダを内包するフォルダを表示します。,command ウインドウのタイトルをクリック
セルの再編集,control + u
セル挿入,control + i
セルを削除,control + k
選択セル位置の列をすべて選択,control + スペース
選択セル位置の行をすべて選択,shift + スペース
カット,command + x
コピー,command + c
ペースト,command + v
形式を選択してペースト,command + shift + v
選択範囲に入力したセルの値をコピー,control + リターン
セルと同じ列で直前の値をコピー,control + d
セルと同じ行で直前の値をコピー,control + r
セル内改行,command + option + リターン
書式設定ダイアログ,command + 1
保存,command + s
名前を付けて保存,command + shift + s
新規ブック,command + n
印刷,command + p
ファイル開く,command + o
ウインドウ閉じる,command + w
セルの枠を追加、削除,command + option+ 矢印キー
選択範囲に外枠をつける,command + option + 0（ゼロ）
選択範囲の罫線を消去,command + option + -（マイナス）
計算式の表示／非表示,command +
シート切り替え,option + 左右キー
セル入力中に押せば、メモ入力,command + shift + n
URLなどのハイパーリンクが入力,command + k
オートコンプリート候補一覧表示,option + 下矢印キー
太字,command + b
文字サイズを大きく,command + shift + ]
文字サイズを大きく,（command + <
文字サイズを小さく,command + shift + ]
文字サイズを小さく,command + >
左揃え,command + L
中央揃え,command + E
右揃え,command + R
セル内でふりがなの編集,option + shift + 上矢印キー
絶対参照,command + T　絶対参照
斜体,command + I　斜体
上、下、左、または右に?1?文字分移動する,矢印キー
使用中のポップアップ?メニューまたはオプションのグループ内のオプション間を移動する,矢印キー
特定の方向に?1?セル分移動する,矢印キー
ページを拡大した場合にページ内を移動する?(印刷プレビュー),矢印キー
開いているすべてのブックのシート全体を計算する,COMMAND+= (等号)
セルのサイズを変更し、結果の値の代わりに数式を表示する。セルに数式が含まれていない場合は、値を表示する,COMMAND+~ (チルダ)
[セル]?コマンド?([書式]?メニュー)?を表示する,COMMAND+1
ワークシート全体を選択する,COMMAND+A
太字を適用または解除する,COMMAND+B
選択範囲をコピーする,COMMAND+C
選択したフィールドを列エリアに移動する,COMMAND+C
選択したフィールドをデータ領域に移動する,COMMAND+D
中央に揃える,COMMAND+E
[検索]?コマンド?([編集]?メニュー)?を表示する,COMMAND+F
次のブック?ウィンドウに切り替える,COMMAND+F6
[置換]?コマンド?([編集]?メニュー)?を表示する,COMMAND+H
斜体を適用または解除する,COMMAND+I
ハイパーリンクを挿入する,COMMAND+K
選択範囲を左に揃える,COMMAND+L
[ピボットテーブル?フィールド]?ダイアログ?ボックスを表示する,COMMAND+L
1?単語分左に移動する,COMMAND+?左矢印
インデント,COMMAND+M
新しいブックを作成する,COMMAND+N
既存のファイルを開く,COMMAND+O
すべての罫線を削除する,COMMAND+OPTION+- (ハイフン)
外枠罫線を適用する,COMMAND+OPTION+0 (ゼロ)
下の外枠罫線を適用または削除する,COMMAND+OPTION+?下矢印
左の外枠罫線を適用または削除する,COMMAND+OPTION+?左矢印
右の外枠罫線を適用または削除する,COMMAND+OPTION+?右矢印
上の外枠罫線を適用または削除する,COMMAND+OPTION+?上矢印
[印刷]?コマンド?([ファイル]?メニュー)?を表示する,COMMAND+P
選択したフィールドをページ領域に移動する,COMMAND+P
終了する,COMMAND+Q
選択範囲を右に揃える,COMMAND+R
選択したフィールドを行エリアに移動する,COMMAND+R
1?単語分右に移動する,COMMAND+?右矢印
保存する,COMMAND+S
フォント?サイズを縮小する,"COMMAND+SHIFT+,"
フォント?サイズを拡大する,COMMAND+SHIFT+.
取り消し線を適用または解除する,COMMAND+SHIFT+- (ハイフン)
テキストの袋文字を追加または削除する,COMMAND+SHIFT+D
前のブック?ウィンドウに切り替える,COMMAND+SHIFT+F6
[スタイル]?コマンド?([書式]?メニュー)?を表示する,COMMAND+SHIFT+L
左の単語を選択または選択解除する,COMMAND+SHIFT+?左矢印
インデントを解除する?(インデントを削除する),COMMAND+SHIFT+M
コメントを含むすべてのセルを選択する,COMMAND+SHIFT+O
右の単語を選択または選択解除する,COMMAND+SHIFT+?右矢印
オート?SUM?の数式を挿入する,COMMAND+SHIFT+T
テキストの影を追加または削除する,COMMAND+SHIFT+W
現在の選択範囲の可視セルだけを選択する,COMMAND+SHIFT+Z
セルの相対参照と絶対参照を切り替える,COMMAND+T
Office?アシスタントに表示されたトピックからヘルプ?トピックを選択する,COMMAND+?トピック番号?(1?は最初のトピック、2?は?2?番目のトピック、以下も同様)
下線を適用または解除する,COMMAND+U
選択範囲を貼り付ける,COMMAND+V
作業中のブック?ウィンドウを閉じる,COMMAND+W
選択範囲を切り取る,COMMAND+X
直前の操作を繰り返す,COMMAND+Y
直前の操作を元に戻す,COMMAND+Z
アクティブ?セルの上のセルからセルまたは数式バーに数式をコピーする,CONTROL+' (アポストロフィ)
選択範囲を削除する,CONTROL+- (ハイフン)
セルの値とセルの数式の表示を切り替える,CONTROL+' (バック?クォート)
選択範囲の次の隅に時計回りに移動する,CONTROL+.(ピリオド)
アクティブ?セルが属する現在の配列を選択する,CONTROL+/
日付を入力する,CONTROL+; (セミコロン)
選択範囲の数式によって直接参照されるセルだけを選択する,CONTROL+[
各行の比較セルと内容が異なるセルを選択する(各行で、選択セルはアクテブ?セルと同じ列にある),CONTROL+\
アクティブ?セルを直接参照する数式を含むセルだけを選択する,CONTROL+]
セルの値とセルの数式の表示を切り替える,CONTROL+` (バック?クォート)
選択範囲を非表示にする,CONTROL+0 (ゼロ)
オブジェクトの非表示、表示、位置のみ表示を切り替える,CONTROL+6
[標準]?ツール?バーを表示または非表示にする,CONTROL+7
アウトライン記号を表示または非表示にする,CONTROL+8
選択した行を非表示にする,CONTROL+9
数式に有効な関数名を入力した後に数式パレットを表示する,CONTROL+A
現在のデータ領域の端に移動する,CONTROL+?矢印キー
選択したセルの内容をクリアする,CONTROL+B
下方向へコピーする,CONTROL+D
カーソルの左側の 1 文字を削除する,DELETE
カーソルの右側の 1 文字削除する,ファンクション + DELETE
選択したテキストやオブジェクトを切り取る,コマンド?+ X
選択したテキストやオブジェクトをコピーする,コマンド?+ C
切り取るかコピーしたテキストやオブジェクトを貼り付ける,コマンド?+ V
形式を選んでペーストする,コマンド?+ Control + V
フォントのサイズを拡大する,コマンド?+ Shift + >
フォントのサイズを縮小する,コマンド?+ Shift + <
太字の設定と解除を切り替える,コマンド?+ B
下線の設定と解除を切り替える,コマンド?+ U
斜体の設定と解除を切り替える,コマンド?+ I
段落を中央揃えにする,コマンド?+ E
段落を両端揃えにする,コマンド?+ J
段落を左揃えにする,コマンド?+ L
段落を右揃えにする,コマンド?+ R
直前の操作をやり直す,コマンド?+ Y
直前の操作を元に戻す,コマンド?+ Z
[書式] ダイアログ ボックスの [フォントのオプション] を開く,コマンド?+ T
[書式] ダイアログ ボックスの [段落のオプション] を開く,コマンド?+ Option + M
単語の先頭または左方向に 1 単語分,Option + ←
カーソルの右側の 1 単語,Option + →
行の末尾へ,コマンド?+ →
行の先頭へ,コマンド?+ ←
段落の先頭または上方向に 1 段落分,Option + ↑
1 段落下,Option + ↓
編集中のオブジェクトのすべてのテキストの先頭または末尾へ,コマンド?+ ↑または↓
次のオブジェクトを選ぶ,TAB
前のオブジェクトを選ぶ,Shift + Tab
すべてのオブジェクトとすべてのテキストを選ぶ,コマンド?+ A
選択したオブジェクトを矢印の方向に移動する,方向キーまたは?コマンド?+ 方向キー
選択したオブジェクトをグループ化する,コマンド?+ Option + G
選択したオブジェクトをグループ解除する,コマンド?+ Option + Shift + G
選択したオブジェクトを再グループ化する,コマンド?+ Option + J
選択したオブジェクトを時計回りに回転する,Option + →
選択したオブジェクトを反時計回りに回転する,Option + ←
選択したオブジェクトを書式設定する,コマンド?+ Shift + 1
選択したオブジェクトを複製する,コマンド?+ D
センタ↓オブジェクトのサイズを変更する,Shift + 方向キー
新しいプレゼンテーションを作成する,コマンド?+ N
PowerPoint プレゼンテーション ギャラリーのテンプレートを使って、新しいプレゼンテーションを作成する,コマンド?+ Shift + P
スライドを新たに挿入する,Control + M または?コマンド?+ Shift + N
縮小,コマンド?+ マイナス記号 (-)
拡大,コマンド?+ (正符号)
選択したスライドをコピーする,コマンド?+ Shift + D
プレゼンテーションを開く,コマンド?+ O
プレゼンテーションを閉じる,コマンド?+ W
プレゼンテーションを印刷する,コマンド?+ P
プレゼンテーションを保存する,コマンド?+ S
別の名前、場所、ファイル形式でプレゼンテーションを保存する,コマンド?+ Shift + S
PowerPoint を終了する,コマンド?+ Q
テキストや書式を検索する,コマンド?+ F
選択したテキスト、画像、またはオブジェクトにハイパーリンクを追加する,コマンド?+ K
[名前を付けて保存] などのコマンドをキャンセルする,ESC
操作を元に戻す,コマンド?+ Z
操作を繰り返す,コマンド?+ Y
開いている複数のプレゼンテーション間を移動する,コマンド?+ ~
最近使用したファイルを開く,コマンド?+ Shift+ O
標準表示に切り替える,コマンド?+ 1
スライド一覧表示に切り替える,コマンド?+ 2
ノート表示に切り替える,コマンド?+ 3
アウトライン表示に切り替える,コマンド?+ 4
スライド ショーに切り替える,コマンド?+ Shift + Return
全画面表示に切り替える (メニューを非表示にする),コマンド?+ Control + F
発表者ツールに切り替える,Option + Return
ガイドの表示と非表示を切り替える,コマンド?+ Option + Control + G
配布資料マスター表示に切り替える,コマンド?+ Option + 2 または Shift キーを押しながら [スライド一覧表示]?[スライド一覧表示] ボタン?をクリックする
スライド マスター表示に切り替える,コマンド?+ Option + 1 または Shift キーを押しながら [標準表示]?[標準ビュー] ボタン?をクリックする
ノート マスター表示に切り替える,コマンド?+ Option + 3
カーソルの右側の 1 文字,Shift + →
カーソルの左側の 1 文字,Shift + ←
カーソル位置から 1 行上の同じ位置まで,Shift + ↑
カーソル位置から 1 行下の同じ位置まで,Shift + ↓
行の先頭までのすべてのテキスト,コマンド?+ Shift + ←
行の末尾までのすべてのテキスト,コマンド?+ Shift + →
カーソル位置から段落の末尾まで,Shift + Option + ↓
カーソル位置から段落の先頭まで,Shift + Option + ↑
次のアニメーションを実行する。または、次のスライドに進む,N、PageDown、→、↓、または Space (または、マウス ボタンをクリック)
前のアニメーションまたは前のスライドに戻る,P、page up、←、↑、または delete
指定した番号のスライドに移動する,表示するスライドの番号と Return
黒い画面を表示するか、黒い画面からスライド ショーに戻る,B または . (ピリオド)
白い画面を表示するか、白い画面からスライド ショーに戻る,"W または , (カンマ)"
最初のスライドからスライドを再生する,コマンド?+ Shift + Return
現在のスライドからスライドを再生する,コマンド?+ Return
スライド ショーを終了する,Esc、?コマンド?+ ピリオド、またはハイフン
スライドへの書き込みを削除する,E
次のスライドが非表示スライドの場合、次のスライドに進む,H
非表示のポインターを再表示するか、ポインターをペン ポインターに変更する (または、その両方),コマンド?+ P
非表示のポインターを再表示するか、ポインターを矢印ポインターに変更する (または、その両方),コマンド?+ A
マウス移動でポインターを非表示にする,Control + H
コンテキスト メニューを表示する,Control キーを押しながらマウス ボタンをクリック
選択した単語の類義語辞典のエントリを表示する,コマンド?+ Option + Control + R
選択した単語またはフレーズのスマート検索のエントリを表示する,コマンド?+ Option + Control + L
発表者ツールに切り替える,Option + Return
次のセルに移動する,TAB
前のセルへ移動する,Shift + Tab
次の行に移動する,↓キー
前の行に移動する,↑キー
セル内で新しい段落を開始する,RETURN
表の最後に新しい行を追加する,最終行の末尾で TAB キーを押す
アクティブなウィンドウを閉じる,コマンド?+ W
ダイアログ ボックスの既定のボタンに割り当てられたアクションを実行する,RETURN
コマンドを取り消して、ダイアログ ボックスを閉じる,ESC
現在のアプリケーションを非表示にする,コマンド?+ H
現在のウィンドウを最小化する,コマンド?+ M
